timestamp,value,anomaly
0,218.14,0
1,213.33,0
2,215.06,0
3,212.85,0
4,218.05,0
5,216.24,0
6,215.92,0
7,214.91,0
8,214.95,0
9,210.38,0
10,214.73,0
11,211.35,0
12,215.80,0
13,213.31,0
14,217.26,0
15,209.78,0
16,213.17,0
17,211.19,0
18,209.37,0
19,212.42,0
20,208.64,0
21,208.76,0
22,212.98,0
23,208.14,0
24,214.31,0
25,210.52,0
26,209.14,0
27,208.47,0
28,209.95,0
29,207.35,0
30,209.73,0
31,204.88,0
32,209.54,0
33,203.08,0
34,209.94,0
35,205.77,0
36,205.91,0
37,208.71,0
38,205.59,0
39,207.71,0
40,202.49,0
41,202.51,0
42,199.48,0
43,199.84,0
44,198.31,0
45,203.04,0
46,201.51,0
47,203.77,0
48,195.87,0
49,201.56,0
50,196.67,0
51,195.31,0
52,198.96,0
53,198.93,0
54,196.23,0
55,195.77,0
56,198.41,0
57,194.97,0
58,196.08,0
59,195.21,0
60,194.23,0
61,189.55,0
62,189.29,0
63,195.70,0
64,195.23,0
65,190.85,0
66,191.27,0
67,188.83,0
68,189.65,0
69,191.67,0
70,189.65,0
71,185.73,0
72,189.56,0
73,189.99,0
74,190.66,0
75,185.17,0
76,189.90,0
77,186.96,0
78,189.60,0
79,183.81,0
80,183.24,0
81,186.14,0
82,186.48,0
83,185.50,0
84,183.91,0
85,188.21,0
86,186.14,0
87,182.57,0
88,187.14,0
89,188.59,0
90,182.05,0
91,181.40,0
92,184.66,0
93,188.16,0
94,181.82,0
95,181.66,0
96,182.61,0
97,183.60,0
98,185.97,0
99,186.58,0
100,188.85,0
101,187.34,0
102,188.48,0
103,188.07,0
104,187.99,0
105,189.22,0
106,184.79,0
107,184.47,0
108,187.25,0
109,190.42,0
110,187.70,0
111,187.77,0
112,185.84,0
113,186.78,0
114,186.70,0
115,186.24,0
116,189.28,0
117,188.60,0
118,188.77,0
119,186.08,0
120,186.92,0
121,188.81,0
122,190.23,0
123,192.35,0
124,192.96,0
125,196.03,0
126,189.76,0
127,192.64,0
128,197.15,0
129,193.38,0
130,197.84,0
131,195.96,0
132,195.35,0
133,196.74,0
134,194.92,0
135,196.74,0
136,198.05,0
137,194.72,0
138,197.52,0
139,194.87,0
140,202.14,0
141,198.64,0
142,196.36,0
143,199.20,0
144,203.98,0
145,198.49,0
146,199.14,0
147,200.59,0
148,205.40,0
149,206.62,0
150,203.68,0
151,202.82,0
152,203.61,0
153,201.80,0
154,204.99,0
155,208.85,0
156,203.57,0
157,203.80,0
158,204.76,0
159,207.99,0
160,208.71,0
161,213.06,0
162,209.24,0
163,209.39,0
164,211.42,0
165,209.39,0
166,212.35,0
167,212.21,0
168,214.34,0
169,210.85,0
170,211.44,0
171,212.89,0
172,215.06,0
173,212.08,0
174,210.15,0
175,213.08,0
176,212.54,0
177,215.05,0
178,216.54,0
179,216.37,0
180,214.00,0
