step,reconstruction_loss,prediction_loss,target_reconstruction_loss,target_prediction_loss,delta_phi,code_drift,rate,J_RD,compression_utility,score_prediction_loss,score_reconstruction_loss,score_delta_phi,score_code_drift,score_rate,instant_anomaly_score,short_anomaly_score,medium_anomaly_score,anomaly_score,warn,block,memory_candidate,label,replay_pass,promoted_memory,false_memory_candidate
0,1346.3990478515625,2.7162282466888428,1346.3990478515625,2.7162282466888428,0.9913390874862671,0.2667052149772644,0.0928417220711708,1349.3678133759647,0.0007405389776730286,1.4329393987925085,12.0,8.568612906043212,2.2933440936123253,0.4868506838387538,10.284306453021607,10.284306453021607,10.284306453021607,10.284306453021607,1,1,0,0,0,0,0
1,1420.5130615234375,3.0089054107666016,1420.5130615234375,3.0089054107666016,0.01143818348646164,0.007162456400692463,0.09335239976644516,1423.5266205861792,0.0007019875834882675,1.4118350397828092,12.0,0.7659987900692553,0.9738989972263681,0.47377604036902854,6.705917519891405,8.495111986456505,8.495111986456505,8.495111986456505,1,0,0,0,0,0,0
2,1393.3175048828125,8.138668060302734,1393.3175048828125,8.138668060302734,0.00650918111205101,0.004570275545120239,0.0937458947300911,1401.4593262933938,0.0007130331562933331,1.0419382187189203,12.0,0.8129528473892685,1.006530556808386,0.4637015718648987,6.52096910935946,7.83706436075749,7.83706436075749,7.83706436075749,0,0,1,0,1,1,0
3,1519.20361328125,12.205796241760254,1519.20361328125,12.205796241760254,0.00429157167673111,0.003630891442298889,0.09389998018741608,1531.411933015436,0.0006525660486291233,0.7486658223212952,12.0,0.8340779661516353,1.0183559540431975,0.4597565935800896,6.509177977021599,6.578688202090821,7.505092764823518,7.505092764823518,0,0,1,0,1,1,0
4,1446.5316162109375,11.36159896850586,1446.5316162109375,11.36159896850586,0.034996941685676575,0.013206083327531815,0.09499501436948776,1457.9038057345897,0.0006854461521515315,0.8095391821746679,12.0,0.5415762398556259,0.8978190540654921,0.431720942815946,6.448909527032746,6.493018871137935,7.2938561172653635,7.2938561172653635,0,0,1,0,1,1,0
5,1437.1243896484375,24.47258758544922,1437.1243896484375,24.47258758544922,0.06767237186431885,0.0035406798124313354,0.09575849771499634,1461.6121774291992,0.0006837082416185524,0.1358677190297621,12.0,0.23030756822153886,1.0194915793483093,0.4121738338860467,6.509745789674154,6.489277764576166,7.163171062666829,7.163171062666829,0,0,1,0,1,1,0
6,1494.9754638671875,24.48670768737793,1494.9754638671875,24.48670768737793,0.06545402109622955,0.014251491986215115,0.09711772948503494,1519.4790838344768,0.000657687442485636,0.13688589105317933,12.0,0.25143974897712523,0.8846589711723365,0.37737405517937944,6.442329485586169,6.466994934097689,7.060193694512448,7.060193694512448,0,0,1,1,0,0,1
7,1440.9290771484375,210.9459228515625,1440.9290771484375,210.9459228515625,0.0331854522228241,0.007071175612509251,0.09797514230012894,1651.8840310769901,0.0006050031225411607,12.0,12.0,0.558832628392778,0.97504808158593,0.3554221137347764,12.0,8.317358425086773,7.305292772652218,12.0,1,1,0,1,0,0,0
8,2548.361083984375,339.5132751464844,2548.361083984375,339.5132751464844,0.018888995051383972,0.026332253590226173,0.0920567661523819,2887.884323948249,0.0003461543931372428,12.0,12.0,0.6950217836234405,0.7325808122622331,0.5069475450735136,12.0,10.147443161862057,8.061590269810589,12.0,1,1,0,1,0,0,0
9,549.0598754882812,31.927526473999023,549.0598754882812,31.927526473999023,0.10517812520265579,0.05591271072626114,0.11252983659505844,581.020745427832,0.00171815181478612,0.6734283011649785,12.0,0.1269751349114902,0.3602084728003055,0.017214953593596552,6.336714150582489,10.112238050194163,8.03526813284245,10.112238050194163,1,1,0,1,0,0,0
10,1359.9056396484375,37.29649353027344,1359.9056396484375,37.29649353027344,0.020264938473701477,0.04194280505180359,0.09957495331764221,1397.215570476949,0.0007151972994113399,1.0605736687371479,12.0,0.6819144403086959,0.5360680423173405,0.3144628964701822,6.530286834368574,8.289000328317021,8.038283683892018,8.289000328317021,0,0,1,0,1,1,0
11,1222.076904296875,37.14990234375,1222.076904296875,37.14990234375,0.03641507402062416,0.011360470205545425,0.09914301335811615,1259.2373531796038,0.0007935013174121369,1.0500032744332504,12.0,0.5280670017006219,0.9210524771601774,0.32552165431958624,6.525001637216625,6.464000874055896,8.049153985346859,8.049153985346859,0,0,1,0,1,1,0
12,1214.4786376953125,45.673892974853516,1214.4786376953125,45.673892974853516,0.03948751837015152,0.011664246208965778,0.09969975799322128,1260.1637580206618,0.0007929184403217024,1.6646510179323921,12.0,0.4987986595206269,0.9172284057286297,0.31126758041927377,6.832325508966196,6.629204660183798,8.095236802388579,8.095236802388579,0,0,1,0,1,1,0
13,1198.5787353515625,55.91017150878906,1198.5787353515625,55.91017150878906,0.022880010306835175,0.011265728622674942,0.10166986286640167,1254.4967527067663,0.0007964974802555781,2.402768382791305,12.0,0.6570030640459499,0.9222451275879773,0.2608279018251977,7.201384191395652,6.8529037791928245,8.203673188932791,8.203673188932791,0,0,1,0,1,1,0
14,1108.9732666015625,48.96016311645508,1108.9732666015625,48.96016311645508,0.012957997620105743,0.012805057689547539,0.10365673899650574,1157.9396188964695,0.0008628577224344007,1.901617318633559,12.0,0.7515209232462708,0.9028673484280055,0.20995883654193326,6.950808659316779,6.994839453226209,7.48236014026376,7.48236014026376,0,0,1,0,1,1,0
15,1037.23388671875,54.806488037109375,1037.23388671875,54.806488037109375,0.0072739385068416595,0.008842641487717628,0.10360369086265564,1092.0446341087668,0.0009148757230900892,2.323183997406147,12.0,0.8056677093789226,0.9527480579860671,0.21131700323541236,7.161591998703074,7.104594949805168,6.791158997221342,7.161591998703074,0,0,1,0,1,1,0
16,961.8086547851562,42.760196685791016,961.8086547851562,42.760196685791016,0.005832210183143616,0.01289257500320673,0.10500383377075195,1004.5736464663222,0.0009944572468800186,1.454550265031607,12.0,0.8194017247452469,0.901765640409065,0.17546979569252408,6.727275132515803,6.946558596845219,6.846953423211815,6.946558596845219,0,0,1,0,1,1,0
