step,reconstruction_loss,prediction_loss,target_reconstruction_loss,target_prediction_loss,delta_phi,code_drift,rate,J_RD,compression_utility,score_prediction_loss,score_reconstruction_loss,score_delta_phi,score_code_drift,score_rate,instant_anomaly_score,short_anomaly_score,medium_anomaly_score,anomaly_score,warn,block,memory_candidate,label,replay_pass,promoted_memory,false_memory_candidate
0,860.9404907226562,4.345615863800049,860.9404907226562,4.345615863800049,0.9919688105583191,0.2628970742225647,0.10448986291885376,865.5381246620417,0.0011540173150373617,1.3154475495536748,12.0,8.574611696665503,2.245405474026208,0.18862875231934453,10.287305848332752,10.287305848332752,10.287305848332752,10.287305848332752,1,1,0,0,0,0,0
1,889.0398559570312,9.899060249328613,889.0398559570312,9.899060249328613,0.017131350934505463,0.012925365939736366,0.10779281705617905,898.9460054779053,0.0011111777750143603,0.9149998944661879,12.0,0.7117652372359913,0.9013528530849025,0.10406475404410817,6.457499947233094,8.372402897782923,8.372402897782923,8.372402897782923,0,0,1,0,1,1,0
2,884.12841796875,455.8759765625,884.12841796875,455.8759765625,0.0936545804142952,0.011896218173205853,0.10838939994573593,1340.026588584967,0.000745697369844983,12.0,12.0,0.017200957213488962,0.9143082364216981,0.08879071984744276,12.0,9.581601931855282,9.581601931855282,12.0,1,1,0,1,0,0,0
3,279.95361328125,292.1896057128906,279.95361328125,292.1896057128906,0.2793107032775879,0.13402028381824493,0.14148128032684326,572.2273000043632,0.0017445086791790768,12.0,12.0,1.7857755231319723,0.623045423114778,0.7584452995235077,12.0,10.152499982411031,10.186201448891461,12.0,1,1,0,1,0,0,0
4,282.3423156738281,187.6360321044922,282.3423156738281,187.6360321044922,0.12377169728279114,0.008994845673441887,0.14472468197345734,470.0063483337313,0.0021231136343229295,11.901254066268612,12.0,0.30409893865866594,0.9508320420011418,0.8414846030823145,11.950627033134307,11.983542344378103,10.53908656574003,11.983542344378103,1,1,0,1,0,0,0
5,286.0411682128906,120.84805297851562,286.0411682128906,120.84805297851562,0.07721368968486786,0.0052458252757787704,0.14708206057548523,406.9071839150041,0.00245153809354917,7.085307822398232,12.0,0.13941623772018358,0.9980264274613873,0.9018394708000352,9.542653911199116,11.164426981444473,10.373014456649878,11.164426981444473,1,1,0,1,0,0,0
6,289.6202087402344,56.4838981628418,289.6202087402344,56.4838981628418,0.04840103164315224,0.005582109093666077,0.14890912175178528,346.1163926224411,0.0028808780606558713,2.4441386527223936,12.0,0.41388784362895925,0.993793132775845,0.9486168681654448,7.222069326361197,9.571783423564874,9.92287943803721,9.92287943803721,1,0,0,0,0,0,0
7,692.4326782226562,31.885412216186523,692.4326782226562,31.885412216186523,0.22980310022830963,0.10208098590373993,0.10795798897743225,724.385546835959,0.0013785772329788963,0.670391527117018,12.0,1.3141622726655988,0.22097891580893783,0.09983593418066183,6.657081136332799,7.807268124631037,9.4042759077515,9.4042759077515,1,0,0,0,0,0,0
8,654.1969604492188,28.37696647644043,654.1969604492188,28.37696647644043,0.10146021097898483,0.006749681197106838,0.10567428916692734,682.5966256469861,0.0014628509891393272,0.4174045928921808,12.0,0.09155799685624381,0.979095200500854,0.1583044380736894,6.489547600250427,6.789566020981475,9.408854143896836,9.408854143896836,1,0,0,0,0,0,0
9,616.3387451171875,17.717153549194336,616.3387451171875,17.717153549194336,0.059688590466976166,0.018894372507929802,0.09869129955768585,634.0726021719723,0.0015746231164436352,0.35125298140721356,12.0,0.3063616864559832,0.8262122651676822,0.3370866726190596,6.413106132583841,6.519911623055688,8.61072644855167,8.61072644855167,1,0,0,0,0,0,0
10,606.9044189453125,1128.3177490234375,606.9044189453125,1128.3177490234375,0.03417561575770378,0.005459891632199287,0.097612664103508,1735.2310711968692,0.00057596020287245,12.0,12.0,0.5494002540822489,0.9953316621447521,0.36470247438146897,12.0,8.300884577611422,8.61072644855167,12.0,1,1,0,1,0,0,0
11,251.36253356933594,816.1852416992188,251.36253356933594,816.1852416992188,0.761590838432312,0.37209710478782654,0.13610288500785828,1067.7758738860489,0.0009356498630194738,12.0,12.0,6.38001334048874,3.6200654620006576,0.6207447461496437,12.0,10.137702044194613,8.617779729532483,12.0,1,1,0,1,0,0,0
12,1399.1617431640625,105.78633880615234,1399.1617431640625,105.78633880615234,0.35398992896080017,0.25783130526542664,0.08773904293775558,1505.0713236074894,0.0006639791783596956,5.999238042418472,12.0,2.4971755949899266,2.1816352547537967,0.6174922039740101,8.999619021209236,10.999873007069745,8.540203316676786,10.999873007069745,1,1,0,1,0,0,0
13,538.323486328125,61.00545883178711,538.323486328125,61.00545883178711,0.1520245522260666,0.06816832721233368,0.08252066373825073,599.3738089424372,0.0016656289550030625,2.7701792577085955,12.0,0.5732378170141862,0.20592916056792115,0.7510959390787939,7.385089628854297,9.461569550021178,8.563491931318657,9.461569550021178,1,0,0,0,0,0,0
14,515.4957885742188,22.8829402923584,515.4957885742188,22.8829402923584,0.19522374868392944,0.1553666740655899,0.08891620486974716,538.4497361131757,0.001853740827097562,0.0212414642691677,12.0,0.9847566990483096,0.8917635581630654,0.587353874633712,6.492378349524155,7.6256956665292295,8.539962961774565,8.539962961774565,1,0,0,0,0,0,0
15,515.0324096679688,8.863125801086426,515.0324096679688,8.863125801086426,0.10747053474187851,0.025559958070516586,0.08449865132570267,523.9229865541308,0.001905041359618338,0.9896990346437572,12.0,0.1488128052409712,0.7423028219021683,0.7004544430181868,6.494849517321879,6.790772498566777,8.540720378499058,8.540720378499058,1,0,0,0,0,0,0
16,475.0584411621094,9.12170124053955,475.0584411621094,9.12170124053955,0.060218434780836105,0.02498389594256878,0.07954391092061996,484.1979783079028,0.002061014358484008,0.9710536821014601,12.0,0.30131434859856593,0.749554555750393,0.8273083567116284,6.48552684105073,6.490918235965587,8.551066193994329,8.551066193994329,1,0,0,0,0,0,0
17,523.2158203125,6.306711196899414,523.2158203125,6.306711196899414,0.03406647592782974,0.018321428447961807,0.0792899951338768,529.5338019902259,0.0018848940373801537,1.1740369270598097,12.0,0.5504399285312626,0.8334247473483986,0.8338092444804159,6.587018463529905,6.52246494063417,7.777783117355743,7.777783117355743,0,0,1,0,1,1,0
18,479.7803039550781,9.907336235046387,479.7803039550781,9.907336235046387,0.019371189177036285,0.013286358676850796,0.0773022323846817,489.69494472201916,0.0020379260286989597,0.9144031298559478,12.0,0.6904283651392468,0.8968085112097964,0.8847010094598214,6.457201564927974,6.509915623169536,6.985954769488311,6.985954769488311,0,0,1,0,1,1,0
19,514.1962890625,11.640621185302734,514.1962890625,11.640621185302734,0.011179760098457336,0.015883706510066986,0.0781421959400177,525.8431043630837,0.0018980982985606876,0.789419453826477,12.0,0.7684605512232326,0.8641119073472124,0.8631958132955734,6.432055953673606,6.492091994043828,6.61916004555465,6.61916004555465,0,0,1,0,1,1,0
