step,reconstruction_loss,prediction_loss,delta_phi,code_drift,rate,J_RD,compression_utility,warn,block,memory_candidate,label,replay_pass,promoted_memory,false_memory_candidate
0,843.9492797851562,881.4635620117188,0.9942939281463623,0.37717241048812866,0.22784848511219025,1725.6894135494529,0.0005791429495964532,1,1,0,0,0,0,0
1,871.8899536132812,876.8975219726562,0.012716364115476608,0.005044471472501755,0.23325669765472412,1748.7933603200315,0.0005714960535780655,1,0,0,0,0,0,0
2,867.818359375,276.5783386230469,0.08143985271453857,0.01085867453366518,0.23019003868103027,1144.4174596038833,0.0008730441391611294,0,0,0,0,0,0,0
3,272.7868957519531,278.7779235839844,0.4013063311576843,0.08700494468212128,0.2657249867916107,551.6651388409733,0.0018094139284724183,0,0,1,1,0,0,1
4,274.9978332519531,282.2154846191406,0.002994030714035034,0.007961027324199677,0.26285892724990845,557.2181374719738,0.0017914143824289594,0,0,1,1,0,0,1
5,278.3705749511719,285.5065002441406,0.006021089851856232,0.008199656382203102,0.260475218296051,563.8825240967423,0.0017702795844127392,0,0,1,1,0,0,1
6,281.6161804199219,684.3588256835938,0.013939980417490005,0.007966982200741768,0.2573135197162628,965.9819606312365,0.0010341454553580397,0,0,1,1,0,0,1
7,677.4296875,646.39599609375,0.3895883560180664,0.09721783548593521,0.23581691086292267,1323.9254030011593,0.0007547594738049754,0,0,0,0,0,0,0
8,638.8573608398438,607.9082641601562,0.0059905387461185455,0.002942970022559166,0.23664815723896027,1246.769778183326,0.0008014298931457827,0,0,0,0,0,0,0
9,600.3306274414062,598.1439819335938,0.013134598731994629,0.004507320001721382,0.23374953866004944,1198.4804752541336,0.0008336942706700835,0,0,0,0,0,0,0
10,590.5193481445312,245.22804260253906,0.011119071394205093,0.014434353448450565,0.2331770658493042,835.7548332026975,0.0011950931865818786,0,0,1,0,1,1,0
11,242.73974609375,1372.5360107421875,1.4677037000656128,0.7150442600250244,0.1806272715330124,1615.7141127006712,0.0006185385481231006,1,1,0,1,0,0,0
12,1349.9671630859375,527.7801513671875,0.9910044074058533,0.47640180587768555,0.3746306300163269,1878.044542002082,0.0005321853621067021,1,1,0,1,0,0,0
13,513.7778930664062,505.0503845214844,0.24512501060962677,0.24088679254055023,0.30650216341018677,1018.9285449701548,0.0009804608420183613,0,0,0,1,0,0,0
14,497.9853515625,504.7748107910156,0.256891667842865,0.3427105247974396,0.22234375774860382,1002.8823062296212,0.0009961327077830445,0,0,0,0,0,0,0
15,496.030029296875,464.7916259765625,0.01866798847913742,0.0855703204870224,0.1955193430185318,960.8444581286609,0.0010396691393799507,0,0,1,0,1,1,0
16,455.3623046875,512.2086791992188,0.00020706653594970703,0.10206818580627441,0.18803885579109192,967.593319325745,0.0010324250436665387,0,0,1,0,1,1,0
17,501.6106872558594,468.7024841308594,2.8833746910095215e-05,0.024715639650821686,0.1830521672964096,970.3199508030713,0.0010295268816142575,0,0,1,0,1,1,0
18,458.0856018066406,502.3292236328125,6.641820073127747e-05,0.06156977266073227,0.188935786485672,960.4290420354903,0.0010401183616035243,0,0,1,0,1,1,0
19,490.7306213378906,518.5704345703125,0.00015398487448692322,0.09982167184352875,0.20930910110473633,1009.3231441305578,0.0009897823343050886,0,0,0,0,0,0,0
